#
1
1065
14;1;114488;00006192;116763;;000000000002;000000000002;0.00;0;416;129.00;129.00;000000000001;;7930072250597;184.00;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
16;1;114488;00006192;116763;;;1.000;0.00;0;416;129.00;129.00;000000000001;;7930072250597;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
15;1;114488;00006192;;;2;55.00;55.00;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
40;1;114488;00006192;;0000000001;0;500.00;500.00;0;416;;;0;;;0;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
43;1;114488;00006192;;0000000001;0;236.00;236.00;0;416;;;000000000001;;;;;;0000000001;;;17/19449/203;;;;;;;;;;;;;;;;;;
40;1;114488;00006192;;0000000001;0;-264.00;-264.00;0;416;;;;;;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
49;1;114488;00006192;;;;;236.00;0;416;;;000000000001;;;;;;0000000001;;;17/19449/203;;;;;;;;;;;;;;;;;;
45;1;114488;00006192;;;;;236.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14522;4172934830;17/19449/203;;;;;;;;;;;;;;;;;;13.07.2021 18:24:00
55;1;114488;00006192;;;;3.000;236.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
42;1;114489;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
11;1;114489;00006192;118166;;125.00;1.000;125.00;0;416;99.50;99.50;000000000001;;2200000006325;125.00;;;0000000001;;;1/416/114489;;;;;;0;;;;;;;;;;;;
14;1;114489;00006192;118166;;000000000002;000000000002;0.00;0;416;99.50;99.50;000000000001;;2200000006325;125.00;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
16;1;114489;00006192;118166;;;1.000;0.00;0;416;99.50;99.50;000000000001;;2200000006325;;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
15;1;114489;00006192;;;2;25.50;25.50;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
11;1;114489;00006192;106884;;7.50;1.000;7.50;0;416;7.50;7.50;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114489;;;;;;0;;;;;;;;;;;;
14;1;114489;00006192;106884;;000000000002;000000000002;0.00;0;416;7.50;7.50;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
16;1;114489;00006192;106884;;;1.000;0.00;0;416;7.50;7.50;000000000001;;2200000004819;;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
41;1;114489;00006192;;0000000002;1;107.00;107.00;0;416;;;0;;;0;;;0000000001;;;1/416/114489;;;;;;;;;;;;;;;;;;
43;1;114489;00006192;;0000000002;1;107.00;107.00;0;416;;;000000000001;;;;;;0000000001;;;18/19450/203;;;;;;;;;;;;;;;;;;
49;1;114489;00006192;;;;;107.00;0;416;;;000000000001;;;;;;0000000001;;;18/19450/203;;;;;;;;;;;;;;;;;;
